sentence,label,cleaned
"This is an excellent tool, especially when paired with your phone's auto-answer.",1,excellent tool especially pair phone autoanswer
I have read other's reviews here but I haven't had any problem with it.,1,read others review havent problem
These products cover up the important light sensor above the ear outlet.,0,products cover important light sensor ear outlet
Comfortable in my hand.,1,comfortable hand
Just does not work.,0,work
Poor Reliability.,0,poor reliability
(It works!),1,work
"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0,take picture battery drop bar start beep let know die
"Terrible product, and waste of money!",0,terrible product waste money
Last time buying from you.,0,last time buy
It was a waste of my money.,0,waste money
So far it has worked like a charm.,1,far work like charm
"I have only had it for a few weeks, but so far, so good.",1,weeks far good
"But, in any case, the best part is, you can download these pictures to your laptop using IR, or even send pictures from your laptop to the phone.",1,case best part download picture laptop use ir even send picture laptop phone
Would recommend this item.,1,would recommend item
It's been my choice headset for years.Great sound; good volume; good noise cancellation.,1,choice headset yearsgreat sound good volume good noise cancellation
"Nice case, feels good in your hands.",1,nice case feel good hand
The item received was Counterfeit.,0,item receive counterfeit
"Just really good.. So far, probably the best BT headset I have ever had.",1,really good far probably best bt headset ever
Works fine.,1,work fine
I received my headset in good time and was happy with it.,1,receive headset good time happy
I was very pleased to see that I could replace my well travled swivel holster for my Blackberry flip.,1,please see could replace well travled swivel holster blackberry flip
My sister has one also and she loves it.,1,sister one also love
Good Quality.,1,good quality
This is by far the worst purchase I've made on Amazon.,0,far worst purchase ive make amazon
Excellent dual-purpose headset.,1,excellent dualpurpose headset
Excellent!.,1,excellent
Does not work for listening to music with the cingular 8125.,0,work listen music cingular
"It seems completely secure, both holding on to my belt, and keeping the iPhone inside.",1,seem completely secure hold belt keep iphone inside
"The bottowm line...another worthless, cheap gimmick from Sprint.",0,bottowm lineanother worthless cheap gimmick sprint
Having trouble with volume.,0,trouble volume
The only good thing was that it fits comfortably on small ears.,1,good thing fit comfortably small ears
WARNING - DO NOT BUY!!.,0,warn buy
"I am pairing this with my iphone, and I could not be happier with it so far.",1,pair iphone could happier far
"When it opens, the battery connection is broken and the device is turned off.",0,open battery connection break device turn
"I didn't want the clip going over the top of my ear, causing discomfort.",0,didnt want clip go top ear cause discomfort
Best headset ever!!!.,1,best headset ever
Don't trust their website and don't expect any helpful support.,0,dont trust website dont expect helpful support
It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1,loudglad say plantronics maintain flawless connection cell static normal use
The speaker is of low quality so as making the ring tones sound very cheap.,0,speaker low quality make ring tone sound cheap
"Fits comfortably, came with three sizes of earbud tips.",1,fit comfortably come three size earbud tip
Excellent product for the price.,1,excellent product price
Bad Reception.,0,bad reception
This product is very High quality Chinese CRAP!!!!!!,0,product high quality chinese crap
It was quite comfortable in the ear.,1,quite comfortable ear
Great phone.,1,great phone
Don't buy this product - It fails!.,0,dont buy product fail
Everything about this product is wrong.First,0,everything product wrongfirst
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.,1,pair two devices easy barely take couple minutes start make call voice dial feature
"This was utterly confusing at first, which caused me to lose a couple of very, very important contacts.",0,utterly confuse first cause lose couple important contact
Terrible phone holder.,0,terrible phone holder
The cutouts and buttons are placed perfectly.,1,cutouts button place perfectly
I love being able to use one headset for both by land-line and cell.,1,love able use one headset landline cell
Problem is that the ear loops are made of weak material and break easily.,0,problem ear loop make weak material break easily
Not nearly as good looking as the AMAZON picture makes it look.,0,nearly good look amazon picture make look
"But despite these few flaws, this case is of exceptional quality and well worth the additional costs of owning an official OEM product.",1,despite flaw case exceptional quality well worth additional cost own official oem product
How stupid is that?,0,stupid
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1,hear im drive car usually dont even put loudest set
Seller shipped quickly and much cheaper than the competitors.,1,seller ship quickly much cheaper competitors
"Good show, Samsung.",1,good show samsung
So I bought about 10 of these and saved alot of money.,1,buy save alot money
It always cuts out and makes a beep beep beep sound then says signal failed.,0,always cut make beep beep beep sound say signal fail
Couldn't figure it out,0,couldnt figure
"My phone sounded OK ( not great - OK), but my wife's phone was almost totally unintelligible, she couldn't understand a word being said on it.",0,phone sound ok great ok wifes phone almost totally unintelligible couldnt understand word say
So I had to take the battery out of the phone put it all back together and then restart it.,0,take battery phone put back together restart
"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0,manage bend leaf spring back place metal enough stress break next drop
Leopard Print is wonderfully wild!.,1,leopard print wonderfully wild
Works for me.,1,work
"Saggy, floppy piece of junk.",0,saggy floppy piece junk
much better than the hard plastic cases.,1,much better hard plastic case
It also had a new problem.,0,also new problem
Happy so far!.,1,happy far
cool phone.,1,cool phone
Works good.,1,work good
Motorola finally got the voice quality of a bluetooth headset right.,1,motorola finally get voice quality bluetooth headset right
It looses connection to the phone even when it is within a couple feet between the two.,0,loose connection phone even within couple feet two
"but it is great, i would really recommend it",1,great would really recommend
Makes it easier to keep up with my bluetooth when I'm not wearing it.,0,make easier keep bluetooth im wear
As I said above....PRETTY USELESS!,0,say abovepretty useless
Never got it!!!!!,0,never get
This pair of headphones is the worst that I have ever had sound-wise.,0,pair headphones worst ever soundwise
[...] down the drain because of a weak snap!,0,drain weak snap
Does not charge the Cingular (ATT) 8525 phone.,0,charge cingular att phone
"You get extra minutes so that you can carry out the call and not get cut off.""",1,get extra minutes carry call get cut
"However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.",0,however year fliptop start get loose wobbly eventually screen go black couldnt receive place call
I kept catching the cable on the seat and I had to pull the phone out to turn it on an off.,0,keep catch cable seat pull phone turn
The headset fulfills my requirements so I am happy with my purchase.,1,headset fulfill requirements happy purchase
Logitech Bluetooth Headset is a 10!.,1,logitech bluetooth headset
"I like the fact that it rests lightly against your ear, rather than inside.",1,like fact rest lightly ear rather inside
A lot of websites have been rating this a very good phone and so do I.,1,lot websites rat good phone
I have tried these cables with my computer and my iPod and it works just fine.,1,try cable computer ipod work fine
"The mic there is a joke, and the volume is quite low.",0,mic joke volume quite low
I'm returning them.,0,im return
I does not maintain a connection with the computer while it is on my lap.,0,maintain connection computer lap
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.,1,easy turn car volume control quite accessable
I have had mine for about a year and this Christmas I bought some for the rest of the family.,1,mine year christmas buy rest family
"Otherwise, easy to install and use, clear sound.",1,otherwise easy install use clear sound
nice leather.,1,nice leather
I had to purchase a different case.,0,purchase different case
It is a joy to use.,1,joy use
Very much disappointed with this company.,0,much disappoint company
Very satisifed with that.,1,satisifed
It didn't charge for me.,0,didnt charge
This is the phone to get for 2005.... I just bought my S710a and all I can say is WOW!,1,phone get buy sa say wow
Buttons are too small.,0,button small
Just reading on the specs alone makes you say WOW.,1,read specs alone make say wow
Love it.. Great armband.,1,love great armband
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1,really like product motorola allot clearer ear piece mic
"However, the keypads are so tinny that I sometimes reach the wrong buttons.",0,however keypads tinny sometimes reach wrong button
I exchanged the sony ericson z500a for this and I'm pretty happy with that decision.,1,exchange sony ericson za im pretty happy decision
I was very impressed with the price of the cases.,1,impress price case
Also makes it easier to hold on to.,1,also make easier hold
"I use this product in a motor control center where there is a lot of high voltage humming from the equipment, and it works great!",1,use product motor control center lot high voltage hum equipment work great
It's pretty easy.,1,pretty easy
I cannot make calls at certain places.,0,cannot make call certain place
"however, my girl was complain that some time the phone doesn't wake up like normal phone does.",0,however girl complain time phone doesnt wake like normal phone
Beautiful styling though.,1,beautiful style though
This company charge me a restocking fee and still not given me my refund back.,0,company charge restock fee still give refund back
I'm trying to return it for a refund.,0,im try return refund
I plugged it in only to find out not a darn thing worked.,0,plug find darn thing work
Excellent product.,1,excellent product
Earbud piece breaks easily.,0,earbud piece break easily
Lousy product.,0,lousy product
This phone tries very hard to do everything but fails at it's very ability to be a phone.,0,phone try hard everything fail ability phone
It is the best charger I have seen on the market yet.,1,best charger see market yet
SWEETEST PHONE!!!,1,sweetest phone
":-)Oh, the charger seems to work fine.",1,oh charger seem work fine
It fits so securely that the ear hook does not even need to be used and the sound is better directed through your ear canal.,1,fit securely ear hook even need use sound better direct ear canal
Not enough volume.,0,enough volume
Echo Problem....Very unsatisfactory,0,echo problemvery unsatisfactory
you could only take 2 videos at a time and the quality was very poor.,0,could take videos time quality poor
don't waste your money.,0,dont waste money
I am going to have to be the first to negatively review this product.,0,go first negatively review product
Adapter does not provide enough charging current.,0,adapter provide enough charge current
"There was so much hype over this phone that I assumed it was the best, my mistake.",0,much hype phone assume best mistake
You also cannot take pictures with it in the case because the lense is covered.,0,also cannot take picture case lense cover
Phone falls out easily.,0,phone fall easily
"It didn't work, people can not hear me when I talk.",0,didnt work people hear talk
The text messaging feature is really tricky to use.,0,text message feature really tricky use
I'm really disappointed all I have now is a charger that doesn't work.,0,im really disappoint charger doesnt work
Painful on the ear.,0,painful ear
Lasted one day and then blew up.,0,last one day blow
disappointed.,0,disappoint
Kind of flops around.,0,kind flop around
The screen does get smudged easily because it touches your ear and face.,0,screen get smudge easily touch ear face
What a piece of junk.. I lose more calls on this phone.,0,piece junk lose call phone
Item Does Not Match Picture.,0,item match picture
The only thing that disappoint me is the infra red port (irda).,0,thing disappoint infra red port irda
"You can not answer calls with the unit, never worked once!",0,answer call unit never work
